mut_index	VAR_0	TOT_0	cluster	state_tree	true_cluster_DCF0	point_estimate_DCF0	cmm_CCF0	Explained	LHs
1.54075556.A.G	13	98	4	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.40723422982990287;(0.4067,0.4074)	0.323076530612	0.323076530612	0;1;2;3;4	1156.5288081912124;14.498592407647386;1156.5288081912124;-1.2378639691269413;-2.012164901635252
1.54106338.A.T	4	67	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2019,0.2136)	0.145402985075	0.145402985075	0;1;2;3;4	350.64454328954645;18.06250578662619;350.64454328954645;-2.305167493224616;0.9121733755537882
1.54277998.G.C	8	70	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2019,0.2136)	0.278342857143	0.278342857143	0;1;2;3;4	709.5962908909116;11.756892214584663;709.5962908909116;-2.0110820353431578;-1.57858952857082
1.54715326.C.A	18	28	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9996,0.9999)	1.0	0.782839285714	0;1;2;3;4	1638.1040857696535;-1.2672259917877362;1638.1040857696535;25.437813854138305;14.265867222710625
1.54715418.C.T	12	20	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9996,0.9999)	1.0	0.73065	0;1;2;3;4	1090.4525231370721;-1.3092988175703244;1090.4525231370721;15.460590846743576;8.137672034766458
1.54900774.G.C	3	46	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2019,0.2136)	0.158836956522	0.158836956522	0;1;2;3;4	262.8323295066258;11.225955666942372;262.8323295066258;-2.2589972254998187;-0.24457445252279442
1.55179005.T.A	16	41	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.9738;(0.9996,0.9999)	0.95043902439	0.95043902439	0;1;2;3;4	1444.5580434455053;-1.6653952099321714;1444.5580434455053;12.513810331893517;4.094158879068466
1.55179156.G.T	41	79	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9996,0.9999)	0.828493670886	1.26399367089	0;1;2;3;4	3719.568838620517;-1.3982993006319262;3719.568838620517;47.63106185534619;23.61145411955512
1.55179255.T.G	9	17	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9996,0.9999)	0.853882352941	1.28938235294	0;1;2;3;4	815.94161865265;-1.1511689838542836;815.94161865265;9.876042914925945;4.5714222194051235
1.55962658.G.A	5	50	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2019,0.2136)	0.24355	0.24355	0;1;2;3;4	442.01885139622107;9.060176800712647;442.01885139622107;-2.178339557618589;-1.3218804488170797
